facility,location,cases,deaths,address,lon,lat
Paramus Veterans Memorial Home,"Paramus, N.J.",292,82,"Paramus Veterans Memorial Home, Paramus, N.J.",-74.0754189,40.9445428
Parker Jewish Institute for Health Care & Rehabilitation,"Queens, N.Y.",82,82,"Parker Jewish Institute for Health Care & Rehabilitation, Queens, N.Y.",-73.7948516,40.7282239
Soldiers Home in Holyoke veterans center and hospital,"Holyoke, Mass.",161,74,"Soldiers Home in Holyoke veterans center and hospital, Holyoke, Mass.",-72.6162009,42.2042586
Conestoga View Nursing and Rehabilitation,"Lancaster, Pa.",153,74,"Conestoga View Nursing and Rehabilitation, Lancaster, Pa.",-76.3055144,40.0378755
The Plaza Rehab and Nursing Center,"Bronx, N.Y.",71,71,"The Plaza Rehab and Nursing Center, Bronx, N.Y.",-73.8648268,40.8447819
Long Island State Veterans Home,"Stony Brook, N.Y.",70,70,"Long Island State Veterans Home, Stony Brook, N.Y.",-73.1409429,40.9256538
Isabella Geriatric Center,"New York, N.Y.",68,68,"Isabella Geriatric Center, New York, N.Y.",-74.0059728,40.7127753
Bergen New Bridge Medical Center nursing home,"Paramus, N.J.",370,66,"Bergen New Bridge Medical Center nursing home, Paramus, N.J.",-74.0754189,40.9445428
Lincoln Park Care Center rehabilitation facility,"Lincoln Park, N.J.",262,65,"Lincoln Park Care Center rehabilitation facility, Lincoln Park, N.J.",-74.3020933,40.9242652
Father Baker Manor nursing home,"Orchard Park, N.Y.",65,65,"Father Baker Manor nursing home, Orchard Park, N.Y.",-78.7439189,42.76755929999999
New Jersey Veterans Memorial Home at Menlo Park,"Edison, N.J.",282,63,"New Jersey Veterans Memorial Home at Menlo Park, Edison, N.J.",-74.4120953,40.5187154
Gracedale Nursing Home,"Nazareth, Pa.",278,63,"Gracedale Nursing Home, Nazareth, Pa.",-75.3096237,40.740375
Andover Subacute & Rehabilitation II,"Andover, N.J.",223,63,"Andover Subacute & Rehabilitation II, Andover, N.J.",-74.74210889999999,40.98593109999999
